Names,Location,Age,Salary,DoB,Blood types,Purchased
NZAYISENGA Clement,France,44,72000,12/2/2020,group O,No
SIBOMANA Peter,Spain,Twenty seven,48000,12/10/2020,group B,Yes
SEKABANZA Jean,Germany,30,54000,?,group A,No
BYUKUSENGE Devote,Spain,38,61000,12/10/2020,group O,No
ZAYINABU Sada,Germany,40,,12/10/2020,G-B,Yes
SEZIBERA Olivier,France,35,58000,12/7/2020,G B,no
SAYINZOGA Gilbert,Spain,,52000,2020/16/08,group B,No
KAMANA Fabrice,France,48,79000,12/9/2020,G A,
MANIRAGUHA Bruno,Germany,50,83000,12/10/2020,group B,No
KAMUKAZI Sarah ,France,637,67000,12/11/2020,group O,No
ZAYINABU Sada,Germany,40,,12/10/2020,G-B,Yes
